Elemento_Tecnico,Categoria,Implementado,Prioridad,Impacto_Voice,Accion_Detallada,Esfuerzo,Timeline,Como_Verificar,Notas
"HowTo Schema",Structured Data,No,Alta,Alto,"Implementar HowTo Schema en guías procedimentales: Cómo reservar, Cómo llegar, Cómo elegir villa, Requisitos paso a paso. JSON-LD format.",Bajo,1 semana,"Google Rich Results Test + Voice search test con 'cómo...' queries","HowTo Schema priorizado por Google Assistant para instrucciones"
"Breadcrumb Schema",Structured Data,Parcial,Media,Medio,"Completar BreadcrumbList Schema en todas las páginas internas. Ayuda a Google entender jerarquía y contexto.",Bajo,1 semana,"Schema validator + Google Search Console Breadcrumbs report","Contexto adicional para interpretar contenido"
"Sentences Cortas (15-20 palabras)",Content Writing,No,Media,Alto,"Re-escribir contenido clave: Máximo 20 palabras por frase. Voice assistant lee mejor frases cortas. Hemingway Editor score 6-8.",Medio,3 semanas,"Hemingway Editor + Readability analyzer + Voice reading test","Voice lee más fluido con frases cortas - mejor UX"
"List Format (Numbered/Bullets)",Content Structure,Parcial,Alta,Alto,"Convertir bloques texto a listas cuando aplicable: Top 10, Pasos, Amenidades, Servicios. HTML semántico <ul><ol>.",Bajo,1-2 semanas,"Screaming Frog HTML tags + Manual visual review","Listas = fácil parsear para IA + mejor para voice reading"
"Organization Schema",Structured Data,Parcial,Media,Medio,"Completar Organization Schema: Logo, ContactPoint, Founder, sameAs (social profiles, Wikidata, LinkedIn).",Bajo,1 semana,"Schema validator + Knowledge Graph monitoring","Ayuda a Google reconocer entidad empresa"
"Audio-Friendly Formatting",Content Presentation,No,Media,Medio,"Eliminar referencias visuales en textos que se leen en voz: 'como se ve en la imagen', 'tabla arriba', 'gráfico siguiente'. Descripción auto-contenida.",Bajo,1 semana,"Manual content audit + Voice reading simulation","Contenido debe entenderse solo escuchando, sin ver pantalla"
"Site Search Functionality",UX Feature,Sí,Baja,Bajo,"Mantener - search box ayuda pero no crítico para voice. Voice bypass sitio internal search.",Muy Bajo,N/A,"User testing search feature","Implementado - prioridad baja para voice"
"AMP (Accelerated Mobile Pages)",Performance,No,Baja,Medio,"Considerar AMP para blog articles. Mejora velocidad móvil pero no mandatory voice search.",Alto,4-6 semanas,"AMP Validator + PageSpeed comparison AMP vs non-AMP","Opcional - prioridad baja, alternativa: optimizar mobile estándar"
"Table Markup Semantic",Structured Data,Parcial,Media,Medio,"Usar <table> semántico con <th scope>, <caption>, <thead> para tablas comparativas/precios. Facilita parseo IA.",Bajo,1 semana,"HTML validator + Accessibility audit tables","Ayuda a IA entender relaciones datos en tablas"
"Review/Rating Schema",Structured Data,No,Alta,Alto,"Implementar Review Schema aggregate: averageRating, reviewCount, reviews con author/rating. Mostrar en homepage y páginas villas.",Medio,2 semanas,"Google Rich Results Test + Star ratings en SERPs monitor","Reviews = trust signal voice search + rich snippets"
